Sender Id,Max of Date Created,Min of Date Created,Average of Amount,recency,frequency,monetary
2921,17/01/2024,20/09/2023,525.0,85,4,2100.0
2927,28/12/2023,21/10/2023,651.2,105,3,1953.7
2932,09/10/2023,11/09/2023,1130.0,185,2,2260.0
2940,16/02/2024,16/02/2024,500.0,55,1,500.0
2950,25/12/2023,14/09/2023,815.7,108,6,4894.2
2967,13/10/2023,13/10/2023,1500.0,181,1,1500.0
2970,28/11/2023,16/10/2023,2090.0,135,2,4180.0
2982,03/03/2024,11/11/2023,1692.9,39,7,11850.0
3074,19/02/2024,18/10/2023,1291.4,52,7,9040.0
3079,24/02/2024,07/09/2023,390.0,47,9,3510.0
3084,01/12/2023,01/10/2023,431.6,132,5,2158.0
3133,23/02/2024,25/09/2023,2785.7,48,7,19500.0
3146,03/03/2024,05/10/2023,621.8,39,4,2487.0
3157,23/01/2024,06/01/2024,3819.3,79,3,11458.0
3171,12/11/2023,12/11/2023,151.3,151,1,151.3
3190,27/09/2023,27/09/2023,500.0,197,1,500.0
3194,16/10/2023,07/10/2023,1276.0,178,2,2552.0
3201,27/01/2024,19/09/2023,748.5,75,6,4491.1
3202,14/12/2023,03/10/2023,380.0,119,5,1900.0
3204,13/09/2023,13/09/2023,4556.0,211,1,4556.0
3237,12/09/2023,12/09/2023,7590.7,212,1,7590.7
3250,14/02/2024,14/02/2024,2000.0,57,1,2000.0
3252,29/02/2024,14/09/2023,1447.0,42,3,4341.0
3261,23/01/2024,07/01/2024,2815.8,79,2,5631.5
3305,05/10/2023,13/09/2023,420.0,189,3,1260.0
3326,02/02/2024,11/09/2023,1500.0,69,2,3000.0
3342,11/12/2023,11/12/2023,1511.0,122,1,1511.0
3379,08/02/2024,23/01/2024,3020.0,63,3,9060.0
3382,11/01/2024,20/09/2023,557.6,91,5,2788.0
3396,01/02/2024,01/02/2024,400.0,70,1,400.0
3418,27/11/2023,27/11/2023,265.0,136,1,265.0
3420,28/02/2024,23/09/2023,169.4,43,7,1186.0
3441,09/10/2023,09/10/2023,100.0,185,1,100.0
3446,07/02/2024,20/12/2023,2871.4,64,7,20100.0
3453,14/11/2023,10/10/2023,350.0,149,2,700.0
3466,28/02/2024,01/11/2023,2298.7,43,6,13792.0
3473,08/11/2023,05/11/2023,2600.0,155,2,5200.0
3492,25/02/2024,09/09/2023,756.8,46,19,14380.0
3498,27/02/2024,04/09/2023,819.0,44,5,4095.0
3499,12/11/2023,19/09/2023,1075.0,151,4,4300.0
3502,26/02/2024,04/10/2023,1258.3,45,8,10066.0
3507,24/02/2024,11/10/2023,357.1,47,3,1071.3
3533,02/03/2024,02/09/2023,709.9,40,21,14908.0
3541,05/01/2024,05/01/2024,650.0,97,1,650.0
3551,24/01/2024,19/01/2024,450.0,78,3,1350.0
3553,03/03/2024,27/11/2023,1947.3,39,3,5842.0
3564,21/01/2024,12/09/2023,1131.0,81,6,6786.0
3584,03/03/2024,11/09/2023,1294.0,39,5,6470.0
3598,06/12/2023,04/09/2023,473.8,127,4,1895.0
3628,07/10/2023,07/10/2023,500.0,187,1,500.0
3637,14/11/2023,14/11/2023,3000.0,149,1,3000.0
3682,25/02/2024,17/10/2023,1000.0,46,2,2000.0
3700,29/02/2024,25/09/2023,373.6,42,9,3362.5
3705,28/02/2024,10/09/2023,449.1,43,14,6288.0
3720,25/02/2024,26/11/2023,5120.5,46,2,10241.0
3730,14/02/2024,22/09/2023,1100.3,57,4,4401.0
3744,15/02/2024,01/12/2023,689.0,56,2,1378.0
3758,04/01/2024,13/09/2023,319.1,98,7,2234.0
3763,04/12/2023,20/09/2023,631.5,129,6,3789.0
3766,20/02/2024,18/09/2023,1936.6,51,7,13556.0
3771,01/03/2024,03/09/2023,415.6,41,9,3740.0
3834,08/01/2024,08/01/2024,500.0,94,1,500.0
3858,15/02/2024,06/10/2023,602.3,56,3,1807.0
3860,09/02/2024,26/09/2023,238.0,62,2,476.0
3866,03/02/2024,03/02/2024,3000.0,68,1,3000.0
3924,13/02/2024,03/10/2023,331.6,58,8,2653.0
3925,02/03/2024,11/01/2024,1625.0,40,4,6500.0
3926,20/02/2024,30/09/2023,952.0,51,2,1904.0
3964,06/01/2024,02/10/2023,1160.1,96,5,5800.3
3980,18/02/2024,15/09/2023,984.7,53,4,3938.8
3999,24/01/2024,24/09/2023,1125.8,78,5,5629.0
4009,26/12/2023,26/12/2023,50.0,107,1,50.0
4059,19/10/2023,19/10/2023,570.0,175,1,570.0
4071,07/10/2023,07/10/2023,375.0,187,1,375.0
