Sender ID,Max of Date Created,Recency,frequency,monetary,Average of Total Amount
11573,25/06/2022,655,4,23628,5907
11581,24/01/2022,807,14,76020.99,5430.070714
11602,28/12/2021,834,4,16408.97,4102.2425
11616,12/01/2021,1184,2,20000,10000
11625,19/08/2019,1696,2,17852,8926
11643,03/10/2021,920,5,21710,4342
11709,22/08/2020,1327,4,19600,4900
11713,29/08/2019,1686,1,5000,5000
11734,02/02/2023,433,4,19837,4959.25
11769,15/11/2021,877,4,23206,5801.5
11772,17/09/2019,1667,2,17698,8849
11775,08/01/2020,1554,3,18830,6276.666667
11792,16/09/2019,1668,1,8000,8000
11921,17/10/2019,1637,1,5000,5000
11987,13/08/2020,1336,1,3900,3900
11999,21/05/2023,325,2,10280,5140
12056,30/05/2021,1046,5,34999,6999.8
12067,24/11/2019,1599,1,8750,8750
12100,07/07/2022,643,7,35294.81,5042.115714
12136,20/12/2019,1573,4,14373,3593.25
12157,20/12/2019,1573,2,8895.22,4447.61
12172,14/01/2020,1548,1,8950,8950
12173,20/12/2019,1573,1,4000,4000
12181,26/12/2019,1567,3,18928,6309.333333
12260,14/04/2021,1092,1,5000,5000
12298,04/06/2022,676,2,14820.28,7410.14
12306,25/02/2024,45,7,48700,6957.142857
12344,11/01/2024,90,11,72300,6572.727273
12579,08/01/2024,93,6,22287,3714.5
12669,12/01/2023,454,11,41375,3761.363636
12766,27/10/2023,166,12,57601,4800.083333
12767,01/01/2020,1561,1,8814.45,8814.45
12769,31/12/2019,1562,1,8810,8810
12796,05/09/2022,583,4,26930,6732.5
12800,09/02/2024,61,7,28317,4045.285714
12816,16/02/2024,54,1,7550,7550
12826,16/12/2022,481,3,12950,4316.666667
12841,13/01/2020,1549,1,4585,4585
12882,02/07/2023,283,7,32328.38,4618.34
12889,04/10/2023,189,3,18775.6,6258.533333
12891,15/02/2020,1516,1,4300,4300
12904,24/12/2020,1203,2,13184.2,6592.1
12906,06/02/2020,1525,2,9718,4859
12983,11/02/2021,1154,5,23341,4668.2
13009,11/03/2020,1491,1,6050,6050
13010,24/02/2020,1507,1,10000,10000
13017,24/12/2020,1203,4,14329,3582.25
13064,10/03/2020,1492,2,8000,4000
13075,10/03/2020,1492,1,8650,8650
13084,23/03/2021,1114,2,10499.99,5249.995
13093,21/01/2024,80,1,9999,9999
13110,14/03/2020,1488,1,4000,4000
13161,23/03/2020,1479,1,6000,6000
13358,18/05/2020,1423,1,8000,8000
13359,19/05/2020,1422,1,5000,5000
13549,08/06/2020,1402,1,9000,9000
13608,16/01/2023,450,13,55090.95,4237.765385
13643,16/11/2020,1241,7,29300,4185.714286
13687,23/06/2020,1387,1,7000,7000
13729,28/06/2020,1382,1,6100,6100
13759,20/12/2021,842,9,41200,4577.777778
13910,20/10/2023,173,2,15000,7500
13984,09/08/2020,1340,1,9999,9999
14006,05/04/2021,1101,7,26400,3771.428571
16183,13/02/2023,422,3,18900,6300
16309,18/04/2022,723,9,66336,7370.666667
16373,12/01/2022,819,3,11850.99,3950.33
16379,21/12/2022,476,2,17898,8949
16424,26/12/2023,106,1,3793,3793
16692,09/05/2022,702,2,16425,8212.5
16693,11/12/2023,121,4,19410,4852.5
16841,22/03/2023,385,1,9999,9999
16850,07/06/2021,1038,2,9617,4808.5
16878,17/02/2024,53,2,9400,4700
16997,24/01/2023,442,4,30478.29,7619.5725
17145,20/12/2022,477,1,3820,3820
17158,28/04/2022,713,2,11000,5500
17222,25/05/2021,1051,4,16000,4000
17293,27/11/2022,500,6,32908.34,5484.723333
17424,17/02/2024,53,18,77624.95,4312.497222
17567,17/11/2021,875,3,18100,6033.333333
17650,27/08/2021,957,2,10440,5220
17827,09/02/2021,1156,3,13500,4500
